epoch,mpe_mpe-large-spread-v2_ac_att_JAMMAS_1 - episode_return__MAX,mpe_mpe-large-spread-v2_ac_att_JAMMAS_2 - episode_return__MAX,mpe_mpe-large-spread-v2_ac_att_JAMMAS_3 - episode_return__MAX,mpe_mpe-large-spread-v2_ac_att_JAMMAS_4 - episode_return__MAX
438,-448.2,-328.2,-286.2,-234.1
439,-410.3,-309.5,-225.7,-210.3
440,-427.7,-249.4,-230.6,-174
441,-389.1,-351.2,-247.9,-233
442,-373,-293.1,-223.5,-203
443,-302.6,-306.7,-262.2,-226.4
444,-337.1,-335.6,-231.1,-223.2
445,-372.7,-292.1,-266,-231.2
446,-350.9,-301.2,-240.8,-250.7
447,-367.6,-267.9,-235.5,-190.8
448,-398.5,-333.8,-223.1,-217.4
449,-404.5,-420.6,-280.1,-225.5
450,-375.4,-342,-268.1,-234.1
451,-424.3,-387.7,-351.9,-204.5
452,-373.7,-333.8,-257.4,-192.6
453,-276.9,-321.5,-244.3,-223.7
454,-395.3,-334.6,-240.4,-206.5
455,-373.5,-220,-237.1,-198
456,-332.3,-303.1,-258.8,-213.7
457,-399.9,-313.7,-249.8,-182.6
458,-398.8,-312,-238,-165
459,-317.5,-332.1,-291.9,-222.9
460,-424.6,-312,-241.8,-219.2
461,-319.8,-301.8,-292.6,-225.7
462,-358.5,-246.2,-253,-207.5
463,-359.1,-343.5,-223.8,-216.7
464,-368.8,-328.3,-219.3,-237.6
465,-365.2,-314.6,-226.8,-215.5
466,-306.7,-336.4,-240.6,-218.7
467,-354.9,-275.6,-215.4,-199.5
468,-321.8,-292.2,-230.8,-232.2
469,-355.9,-305,-247.2,-188.2
470,-334.6,-306.6,-233.2,-169.8
471,-291.8,-302.2,-241.9,-180
472,-357.8,-283,-223.6,-216.4
473,-370.4,-272.3,-210.1,-223.3
474,-342.2,-266.4,-247.5,-183.9
475,-333.4,-334,-219.3,-240.4
476,-378.3,-300.6,-220.3,-205.9
477,-379.4,-232.7,-231.4,-214.6
478,-389.5,-288.9,-220.8,-192.6
479,-402.5,-323.6,-195.4,-229.5
480,-336.3,-283.5,-240.1,-209.3
481,-290.9,-251.9,-258.8,-223.5
482,-472.6,-298.7,-208.9,-254.3
