epoch,tj_easy_ac_att_JAMMAS_1 - episode_return__MAX,tj_easy_ac_att_JAMMAS_2 - episode_return__MAX,tj_easy_ac_att_JAMMAS_3 - episode_return__MAX,tj_easy_ac_att_JAMMAS_4 - episode_return__MAX,,,,,,,,,,,,,,,,,,
106,-30.4,-30.4,-30.4,-32.8,,,,,,,,,,,,,,,,,,
107,-29.6,-29.6,-29.6,-25.6,,,,,,,,,,,,,,,,,,
108,-23.2,-23.2,-23.2,-24.8,,,,,,,,,,,,,,,,,,
109,-22.4,-22.4,-22.4,-20.8,,,,,,,,,,,,,,,,,,
110,-15.2,-15.2,-15.2,-16,,,,,,,,,,,,,,,,,,
111,-21.6,-21.6,-21.6,-21.6,,,,,,,,,,,,,,,,,,
112,-18.4,-18.4,-18.4,-20.8,,,,,,,,,,,,,,,,,,
113,-24,-24,-24,-21.6,,,,,,,,,,,,,,,,,,
114,-26.4,-26.4,-26.4,-27.2,,,,,,,,,,,,,,,,,,
115,-19.2,-19.2,-19.2,-19.2,,,,,,,,,,,,,,,,,,
116,-24,-24,-24,-24.8,,,,,,,,,,,,,,,,,,
117,-17.6,-17.6,-17.6,-16.8,,,,,,,,,,,,,,,,,,
118,-16.8,-16.8,-16.8,-16.8,,,,,,,,,,,,,,,,,,
119,-22.4,-22.4,-22.4,-20.8,,,,,,,,,,,,,,,,,,
120,-21.6,-21.6,-21.6,-22.4,,,,,,,,,,,,,,,,,,
121,-25.6,-25.6,-25.6,-19.2,,,,,,,,,,,,,,,,,,
122,-20.8,-20.8,-20.8,-18.4,,,,,,,,,,,,,,,,,,
123,-18.4,-18.4,-18.4,-18.4,,,,,,,,,,,,,,,,,,
124,-17.6,-17.6,-17.6,-18.4,,,,,,,,,,,,,,,,,,
125,-24,-24,-24,-24.8,,,,,,,,,,,,,,,,,,
126,-24,-24,-24,-23.2,,,,,,,,,,,,,,,,,,
127,-20,-20,-20,-18.4,,,,,,,,,,,,,,,,,,
128,-24.8,-24.8,-24.8,-27.2,,,,,,,,,,,,,,,,,,
129,-24,-24,-24,-22.4,,,,,,,,,,,,,,,,,,
130,-24,-24,-24,-22.4,,,,,,,,,,,,,,,,,,
131,-17.6,-17.6,-17.6,-18.4,,,,,,,,,,,,,,,,,,
132,-21.6,-21.6,-21.6,-23.2,,,,,,,,,,,,,,,,,,
133,-17.6,-17.6,-17.6,-14.4,,,,,,,,,,,,,,,,,,
134,-18.4,-18.4,-18.4,-20.8,,,,,,,,,,,,,,,,,,
135,-28.8,-28.8,-28.8,-30.4,,,,,,,,,,,,,,,,,,
136,-26.4,-26.4,-26.4,-24.8,,,,,,,,,,,,,,,,,,
137,-21.6,-21.6,-21.6,-22.4,,,,,,,,,,,,,,,,,,
