epoch,mpe_mpe-large-spread-v1_ac_att_noise_JAMMAS_1 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_1 - episode_return
441,-305.1,-229.5
442,-309,-281.6
443,-324,-223.6
444,-320.1,-311
445,-357.1,-226.8
446,-400.8,-215.5
447,-283.8,-243.8
448,-333,-266.7
449,-305.5,-184.7
450,-338.1,-198.5
451,-295.7,-344.6
452,-272.8,-265.8
453,-281.2,-218.9
454,-254.4,-200.4
455,-265.7,-224.7
456,-335,-197.7
457,-266.8,-214.7
458,-274.1,-229.6
459,-324,-203.4
460,-278.9,-230.7
461,-331.5,-257.1
462,-353.5,-191.7
463,-309.1,-212.3
464,-223,-219.8
465,-254.2,-193
466,-235.5,-253.3
467,-282.5,-180.6
468,-236.5,-302.7
469,-282.1,-221.6
470,-297.5,-327
471,-310.2,-182.6
472,-286.1,-208.6
473,-301,-204.9
474,-273,-207.2
475,-306.5,-239.7
476,-267.8,-188.2
477,-277.4,-215.7
478,-254,-193
479,-267.1,-210
480,-330.7,-208.2
481,-271.9,-240.1
482,-267,-236.6
483,-277.6,-233.1
484,-315.1,-215.2
485,-336.9,-183
486,-276.7,-216.1
487,-350.5,-222.5
488,-249.5,-210.9
489,-301.3,-218.8
490,-279.3,-174.3
491,-258.7,-209.2
492,-327.9,-237.7
493,-293.9,-198.9
494,-308.5,-263.7
495,-299.3,-236.4
496,-288.7,-217.5
497,-247.7,-230.8
498,-297.2,-216.9
499,-270,-200.7
500,-287.6,-224
501,-254.6,-303.6
502,-309.9,-216.6
503,-280.5,-291.5
504,-245.6,-212.4
505,-316.4,-212.8
506,-211.2,-193.7
507,-291.4,-202.7
508,-283.7,-231.8
509,-284.1,-192.1
510,-334.3,-200.2
511,-292.4,-264.8
512,-337.1,-266.7
513,-319.1,-200.6
514,-273,-270.1
515,-249.4,-150.8
516,-316.4,-180
517,-285.6,-202.1
518,-298.6,-272.5
519,-259.5,-230.7
520,-267.6,-219.8
521,-321.2,-286.3
522,-280.2,-197.4
523,-278.8,-207.2
524,-273.2,-270.3
525,-285.2,-259.7
526,-305.5,-311
527,-296.7,-290.1
528,-236.6,-210.8
529,-259.7,-264.5
530,-310.5,-224.3
531,-269.7,-199.5
532,-316.9,-269.9
533,-211.1,-173.6
534,-291.4,-243.9
535,-277.5,-217.5
536,-261.8,-279
537,-287.7,-247.7
538,-307.1,-183.9
539,-317.2,-192.3
540,-314.7,-216.9
541,-298.4,-190.5
542,-310.8,-249.6
543,-297,-160.7
544,-279.9,-225.3
545,-196.7,-218.6
546,-224.5,-233.4
547,-342.3,-228.7
548,-279.3,-251.9
549,-298.3,-215.7
550,-277.6,-235.3
551,-280.8,-257.2
552,-267.1,-244.7
553,-296.1,-223.4
554,-303.6,-200.9
555,-226,-226.9
556,-227.1,-181.3
557,-253.3,-229.6
558,-255.7,-203.1
559,-241,-195
560,-314.7,-205.5
