epoch,mpe_mpe-large-spread-v1_ac_att_JAMMAS_1 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_2 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_3 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_4 - episode_return
260,-277.9,-294.3,-296.4,-318
261,-306.2,-289.8,-284.7,-281
262,-292.4,-256.2,-266,-268.1
263,-241.8,-337,-274.1,-209.1
264,-253.8,-331.7,-258.9,-258.3
265,-268,-294.2,-297.5,-242.8
266,-225,-301.2,-215,-268.9
267,-279.7,-289.4,-232.9,-270.7
268,-304.4,-243,-214.1,-344.8
269,-331.9,-221.5,-274.6,-251.9
270,-310.4,-223,-272.7,-253.9
271,-230.5,-297.6,-257.3,-291.4
272,-325,-338.8,-243.7,-303.8
273,-239.1,-257.4,-255.1,-301.5
274,-292.4,-268.5,-253.8,-300.6
275,-303.2,-223.6,-271.4,-235.2
276,-240.6,-310.1,-212.3,-227.4
277,-266.2,-336.1,-267.5,-296.8
278,-309.3,-302.8,-163.2,-305.8
279,-270.5,-221.8,-189.2,-271.2
280,-361.6,-332.7,-251,-262.3
281,-325.1,-216.2,-216.5,-290.2
282,-247.6,-245.1,-219.3,-283.4
283,-240.8,-224.4,-228.1,-234.1
284,-299.8,-276.4,-228,-227.9
285,-200.8,-297.5,-283.2,-227.5
286,-329.1,-231.8,-288.7,-263.1
287,-255.2,-263.1,-254.2,-218.7
288,-218.5,-265,-176.1,-287.3
289,-231.8,-214.9,-233.5,-223.9
290,-283.3,-198.8,-235.8,-237.4
291,-293.5,-249,-203.2,-250.4
292,-267.6,-232.7,-231.8,-217.4
293,-249.4,-247.5,-283.6,-258.6
294,-311.1,-281.6,-256.2,-231.4
295,-335,-239.4,-239.6,-228.9
296,-262,-232.3,-216.3,-232.4
297,-301.5,-247.4,-273.1,-247.6
298,-332.3,-264.9,-201.2,-225.1
299,-285.7,-266.3,-224.8,-253.3
300,-239.1,-245.6,-266.4,-240.5
301,-255.9,-242.9,-241.9,-274.8
302,-220.1,-223.5,-250.3,-216.3
303,-258.4,-241.7,-229.3,-257.6
304,-249.1,-225.8,-216.1,-186.4
